Time,UB,LB
0.000000,470.072755,0.000000
0.393207,430.018784,0.000000
0.394500,426.070656,0.000000
0.401428,424.791744,0.000000
0.402267,420.843616,0.000000
0.420411,411.965224,0.000000
0.421552,408.017096,0.000000
0.472701,404.949336,0.000000
0.473944,401.001208,0.000000
0.513084,399.006912,0.000000
0.532369,395.930952,0.000000
0.533668,391.982824,0.000000
0.612824,386.433728,0.000000
0.624750,376.631880,0.000000
0.742336,320.257030,0.000000
0.750103,319.983046,0.000000
0.751877,319.523230,0.000000
0.758958,314.590470,0.000000
0.807153,284.358086,0.000000
0.808828,234.985702,0.000000
0.809643,228.020390,0.000000
0.891144,227.723910,0.000000
0.992548,221.388520,0.000000
0.993324,214.423208,0.000000
1.205026,209.575776,0.000000
1.205795,202.610464,0.000000
1.232933,200.462144,0.000000
2.967401,197.610144,0.000000
7.586366,191.275080,0.000000
25.581709,190.302960,0.000000
25.896414,190.224256,0.000000
25.897139,183.258944,0.000000
27.948532,178.741848,0.000000
27.949448,171.776536,0.000000
914.927134,171.776536,0.125856
915.010731,171.776536,0.548693
915.057540,171.776536,3.255488
915.220791,171.776536,3.460416
915.377221,171.776536,3.678325
915.463559,171.776536,3.872768
915.550661,171.776536,3.883253
915.629965,171.776536,4.077696
915.711420,171.776536,4.181408
915.796530,171.776536,4.295605
915.843843,171.776536,4.386336
915.925729,171.776536,4.428320
916.108206,171.776536,4.500533
916.151772,171.776536,4.604245
916.196773,171.776536,4.798688
916.244796,171.776536,4.809173
916.287112,171.776536,4.851157
916.388328,171.776536,5.003616
916.431728,171.776536,5.045600
916.531089,171.776536,5.107328
916.678741,171.776536,5.143752
916.894011,171.776536,5.354240
916.992636,171.776536,5.426453
917.014070,171.776536,5.468437
917.065149,171.776536,5.530165
917.144056,171.776536,5.566589
917.259162,171.776536,5.601152
917.358448,171.776536,5.724608
917.438562,171.776536,5.761032
917.551704,171.776536,5.777077
917.601205,171.776536,5.971520
917.651822,171.776536,6.033248
