Time,UB,LB
0.000000,235.400867,0.000000
0.023806,50.665446,0.000000
0.023849,50.392003,0.000000
0.024016,46.362000,0.000000
0.024717,40.189200,0.000000
0.025526,38.125366,0.000000
0.026625,36.315670,0.000000
0.087592,35.592374,0.000000
0.517296,34.892374,0.000000
0.937227,34.892374,0.255510
0.938721,34.892374,0.443168
0.941454,34.892374,0.670336
0.947660,34.892374,0.751808
0.949094,34.892374,0.833280
0.954566,34.892374,0.872790
0.957235,34.892374,0.917248
0.962899,34.892374,1.102432
0.968913,34.892374,1.325878
0.971856,34.892374,1.369088
0.974688,34.892374,1.534528
0.977419,34.892374,1.596256
0.983051,34.892374,1.759200
0.984399,34.892374,1.798710
0.985099,34.892374,1.843168
0.986438,34.892374,2.028352
0.991809,34.892374,2.150560
0.994634,34.892374,2.213536
1.000027,34.892374,2.251798
1.002728,34.892374,2.295008
1.003394,34.892374,2.417238
1.006205,34.892374,2.460448
1.009022,34.892374,2.522176
1.010566,34.892374,2.583904
1.013394,34.892374,2.645632
1.016192,34.892374,2.869078
1.017545,34.892374,2.892544
1.020371,34.892374,2.954272
1.021726,34.892374,3.016000
1.024618,34.892374,3.033270
1.027422,34.892374,3.076480
1.030147,34.892374,3.096246
1.032930,34.892374,3.139456
1.038589,34.892374,3.177718
1.039251,34.892374,3.324640
1.042166,34.892374,3.343158
1.044866,34.892374,3.386368
1.045536,34.892374,3.407360
1.051351,34.892374,3.509824
1.053992,34.892374,3.528342
1.056771,34.892374,3.529568
1.059447,34.892374,3.571552
1.062086,34.892374,3.695008
1.064780,34.892374,3.756736
1.066085,34.892374,3.794998
1.067426,34.892374,3.818464
1.070137,34.892374,3.941920
1.073144,34.892374,3.959190
1.075610,34.892374,3.960438
1.076939,34.892374,4.002400
1.077605,34.892374,4.022166
1.080302,34.892374,4.065376
1.081618,34.892374,4.127104
1.082936,34.892374,4.250560
1.085608,34.892374,4.269078
1.086250,34.892374,4.333280
1.091773,34.892374,4.435744
1.093744,34.892374,4.454262
1.096399,34.892374,4.455488
1.099009,34.892374,4.497472
1.099695,34.892374,4.559200
1.101020,34.892374,4.576470
1.102381,34.892374,4.620928
1.108029,34.892374,4.639446
1.110705,34.892374,4.682656
1.112000,34.892374,4.720918
1.112377,34.892374,4.744384
1.113011,34.892374,4.806112
1.114401,34.892374,4.867840
1.116388,34.892374,4.885110
1.117027,34.892374,4.886358
1.118313,34.892374,4.948086
1.118959,34.892374,4.950560
1.122097,34.892374,5.009814
1.123660,34.892374,5.053024
1.125105,34.892374,5.071542
1.126486,34.892374,5.072768
1.127805,34.892374,5.176480
1.128634,34.892374,5.238208
1.131380,34.892374,5.259200
1.132802,34.892374,5.299936
1.135781,34.892374,5.318454
1.137169,34.892374,5.320928
1.139935,34.892374,5.361664
1.141268,34.892374,5.380182
1.141921,34.892374,5.381408
1.142589,34.892374,5.441910
1.143943,34.892374,5.485120
1.145516,34.892374,5.502390
1.146818,34.892374,5.546848
1.150094,34.892374,5.565366
1.152795,34.892374,5.608576
1.154516,34.892374,5.629568
1.157293,34.892374,5.732032
1.161337,34.892374,5.750550
1.162660,34.892374,5.793760
1.163959,34.892374,5.812278
1.164305,34.892374,5.833270
1.167018,34.892374,5.876480
1.169778,34.892374,5.917216
1.171245,34.892374,5.935734
1.172666,34.892374,5.955478
1.174028,34.892374,5.978944
1.174390,34.892374,5.997462
1.175673,34.892374,5.998688
1.176950,34.892374,5.999936
1.179682,34.892374,6.120918
1.181088,34.892374,6.164128
1.185187,34.892374,6.182646
1.185838,34.892374,6.225856
1.188490,34.892374,6.244374
1.189812,34.892374,6.246848
1.192528,34.892374,6.287584
1.192858,34.892374,6.349312
1.193509,34.892374,6.367830
1.194794,34.892374,6.411040
1.195121,34.892374,6.428310
1.195464,34.892374,6.432032
1.198198,34.892374,6.472768
1.198979,34.892374,6.491286
1.199645,34.892374,6.534496
1.200975,34.892374,6.553014
1.201639,34.892374,6.555488
1.204582,34.892374,6.657952
1.207852,34.892374,6.676470
1.209149,34.892374,6.719680
1.209487,34.892374,6.759190
1.212167,34.892374,6.781408
1.212835,34.892374,6.802400
1.213490,34.892374,6.843136
1.217628,34.892374,6.861654
1.218681,34.892374,6.864128
1.220037,34.892374,6.881398
1.221370,34.892374,6.923382
1.221715,34.892374,6.924608
1.222035,34.892374,6.925856
1.224731,34.892374,6.985110
1.225404,34.892374,7.046838
1.228042,34.892374,7.090048
1.230045,34.892374,7.108566
1.230763,34.892374,7.151776
1.232052,34.892374,7.170294
1.232389,34.892374,7.172768
1.234688,34.892374,7.213504
1.236480,34.892374,7.232022
1.237233,34.892374,7.275232
1.239576,34.892374,7.293750
1.240627,34.892374,7.357952
1.243421,34.892374,7.376470
1.244840,34.892374,7.460416
1.245950,34.892374,7.478934
1.246661,34.892374,7.481408
