Time,UB,LB
0.000000,238.400867,0.000000
0.978565,83.665446,0.000000
0.978625,78.562032,0.000000
0.979043,78.054406,0.000000
0.979115,71.895408,0.000000
0.981218,71.189200,0.000000
0.981384,67.446202,0.000000
0.985101,65.743885,0.000000
0.990002,61.485558,0.000000
1.001147,60.490512,0.000000
1.008890,56.959670,0.000000
1.019203,51.088246,0.000000
1.049209,50.703062,0.000000
1.051047,48.851222,0.000000
1.350989,48.537782,0.000000
1.415067,48.027926,0.000000
1.417652,47.757526,0.000000
1.419534,46.934230,0.000000
2.419842,45.779766,0.000000
2.431265,44.604598,0.000000
2.437810,43.061398,0.000000
2.702435,42.135478,0.000000
3.590073,42.135478,0.020864
3.591321,42.135478,0.024608
3.593920,42.135478,0.039382
3.594545,42.135478,0.043126
3.595915,42.135478,0.045600
3.596515,42.135478,0.059126
3.598988,42.135478,0.060352
3.600256,42.135478,0.082592
3.600573,42.135478,0.086336
3.600894,42.135478,0.120854
3.603394,42.135478,0.125846
3.604008,42.135478,0.141846
3.607051,42.135478,0.143072
3.608281,42.135478,0.164064
3.609775,42.135478,0.169056
3.610366,42.135478,0.182582
3.611071,42.135478,0.185056
3.612281,42.135478,0.209792
3.613074,42.135478,0.246784
3.614317,42.135478,0.265302
3.614903,42.135478,0.288685
3.615192,42.135478,0.290038
3.615483,42.135478,0.372758
3.615773,42.135478,0.413494
3.616563,42.135478,0.446605
3.616860,42.135478,0.456704
3.617226,42.135478,0.460384
3.618188,42.135478,0.478902
3.618487,42.135478,0.481376
3.618808,42.135478,0.489974
3.619455,42.135478,0.539424
3.619781,42.135478,0.543104
3.620357,42.135478,0.561622
3.620652,42.135478,0.572694
3.621223,42.135478,0.604832
3.621377,42.135478,0.641888
3.622866,42.135478,0.664086
3.623152,42.135478,0.703616
3.625296,42.135478,0.719616
3.630392,42.135478,0.722134
3.631075,42.135478,0.724608
3.631742,42.135478,0.747904
3.633705,42.135478,0.765344
3.634034,42.135478,0.786336
