Time,UB,LB
0.000000,201.353293,0.000000
0.568441,160.296509,0.000000
0.570845,159.483958,0.000000
0.570869,156.998829,0.000000
0.570893,145.561821,0.000000
0.570921,145.450781,0.000000
0.570942,143.561869,0.000000
0.570962,143.032269,0.000000
0.592278,41.602832,0.000000
0.592517,38.214000,0.000000
0.593413,35.482381,0.000000
0.594673,34.599670,0.000000
0.595382,34.578678,0.000000
0.596239,33.962774,0.000000
0.684698,33.652758,0.000000
1.027016,33.652758,0.012192
1.027513,33.652758,0.043094
1.027713,33.652758,0.071446
1.029155,33.652758,0.086304
1.029299,33.652758,0.112182
1.029599,33.652758,0.160352
1.030493,33.652758,0.215894
1.030875,33.652758,0.243072
1.031819,33.652758,0.262816
1.033836,33.652758,0.343062
1.035142,33.652758,0.345536
1.037856,33.652758,0.364054
1.038555,33.652758,0.386272
1.039189,33.652758,0.446774
1.039930,33.652758,0.485024
1.041313,33.652758,0.486262
1.041964,33.652758,0.489984
1.042519,33.652758,0.567744
1.044751,33.652758,0.568982
1.045123,33.652758,0.586262
1.045806,33.652758,0.588736
1.046584,33.652758,0.589974
1.046994,33.652758,0.641856
1.047324,33.652758,0.668982
1.048084,33.652758,0.688726
1.049413,33.652758,0.712192
1.049834,33.652758,0.765312
1.049936,33.652758,0.771446
1.052008,33.652758,0.786304
1.052109,33.652758,0.812182
1.052532,33.652758,0.814656
1.053218,33.652758,0.869024
1.053305,33.652758,0.894902
1.053674,33.652758,0.915894
1.054048,33.652758,0.941824
1.055626,33.652758,0.962816
1.056246,33.652758,0.969014
1.056333,33.652758,1.038102
1.056493,33.652758,1.043062
1.057046,33.652758,1.045536
1.057635,33.652758,1.086272
1.058379,33.652758,1.105888
1.058537,33.652758,1.145526
1.059914,33.652758,1.168992
1.060456,33.652758,1.188736
1.061265,33.652758,1.189984
1.061519,33.652758,1.234304
1.061730,33.652758,1.268982
1.062109,33.652758,1.289974
1.062768,33.652758,1.295968
1.063551,33.652758,1.312192
1.064019,33.652758,1.372694
1.064386,33.652758,1.394784
1.064485,33.652758,1.394797
1.064639,33.652758,1.399744
1.064796,33.652758,1.410944
1.065641,33.652758,1.412182
1.066170,33.652758,1.461408
1.066892,33.652758,1.481216
1.066999,33.652758,1.493664
1.067773,33.652758,1.512182
1.068203,33.652758,1.513293
1.068363,33.652758,1.514656
1.068797,33.652758,1.515894
1.069397,33.652758,1.542944
1.069493,33.652758,1.560224
1.069594,33.652758,1.594902
1.070003,33.652758,1.599712
1.070132,33.652758,1.614646
1.070839,33.652758,1.617005
1.070901,33.652758,1.621952
1.070962,33.652758,1.641824
1.071280,33.652758,1.661389
1.072696,33.652758,1.688640
1.072790,33.652758,1.697366
1.073502,33.652758,1.703373
1.074292,33.652758,1.708384
1.074386,33.652758,1.760205
1.074479,33.652758,1.782445
1.074534,33.652758,1.794784
1.074783,33.652758,1.802189
1.074880,33.652758,1.868813
1.075549,33.652758,1.888621
1.075637,33.652758,1.913293
1.076041,33.652758,1.913312
1.076327,33.652758,1.932899
1.076470,33.652758,1.950285
1.076867,33.652758,1.950349
1.076951,33.652758,1.957728
1.077720,33.652758,1.960224
1.077921,33.652758,1.967629
1.078010,33.652758,1.994765
1.078443,33.652758,1.999712
1.079381,33.652758,2.110944
1.079754,33.652758,2.115789
1.079836,33.652758,2.160205
1.080346,33.652758,2.165152
1.081013,33.652758,2.193664
1.081430,33.652758,2.202189
1.081585,33.652758,2.210720
1.081676,33.652758,2.293654
1.082450,33.652758,2.314646
1.082807,33.652758,2.365133
1.083456,33.652758,2.367629
1.083609,33.652758,2.388483
1.083756,33.652758,2.397366
1.084124,33.652758,2.438102
1.084386,33.652758,2.446605
1.084733,33.652758,2.458880
1.084824,33.652758,2.518112
1.084923,33.652758,2.592320
1.085082,33.652758,2.612045
1.085481,33.652758,2.758851
1.085562,33.652758,2.814528
1.085616,33.652758,2.821827
1.085699,33.652758,2.889728
1.085784,33.652758,2.957728
1.085921,33.652758,2.979968
1.085973,33.652758,2.993654
1.086776,33.652758,2.994765
1.086870,33.652758,2.999712
1.086970,33.652758,3.036864
1.087622,33.652758,3.067491
1.087773,33.652758,3.069987
1.087862,33.652758,3.137888
1.087948,33.652758,3.147872
1.088047,33.652758,3.160205
1.088130,33.652758,3.165152
1.088214,33.652758,3.192288
1.088808,33.652758,3.197120
1.088911,33.652758,3.221933
1.088961,33.652758,3.240566
1.089600,33.652758,3.300877
1.090064,33.652758,3.308365
1.090146,33.652758,3.313312
1.090245,33.652758,3.357709
1.090542,33.652758,3.357728
1.091320,33.652758,3.365133
1.091403,33.652758,3.387373
1.091452,33.652758,3.394765
1.091668,33.652758,3.394784
1.091733,33.652758,3.399712
1.091936,33.652758,3.437859
1.092022,33.652758,3.444128
1.092516,33.652758,3.500835
1.092597,33.652758,3.560205
1.092750,33.652758,3.565152
1.092900,33.652758,3.599693
1.093737,33.652758,3.602208
1.093792,33.652758,3.646624
1.093893,33.652758,3.654029
1.093973,33.652758,3.667488
1.094073,33.652758,3.748995
1.094150,33.652758,3.765133
1.094724,33.652758,3.802189
1.094790,33.652758,3.809379
1.094988,33.652758,3.845251
1.095129,33.652758,3.846605
1.095219,33.652758,3.851533
1.095624,33.652758,3.918208
1.095987,33.652758,3.967459
1.096092,33.652758,4.105699
1.096143,33.652758,4.118189
1.096897,33.652758,4.192288
1.096984,33.652758,4.283629
1.097626,33.652758,4.325613
1.097982,33.652758,4.357728
1.098081,33.652758,4.505888
1.098199,33.652758,4.555136
1.098286,33.652758,4.599693
1.098368,33.652758,4.610691
1.098445,33.652758,4.618112
1.098531,33.652758,4.646624
1.098592,33.652758,4.703232
1.098743,33.652758,4.765133
1.098820,33.652758,4.794784
1.098871,33.652758,4.812182
1.098923,33.652758,4.844128
1.099072,33.652758,4.858851
1.099151,33.652758,4.866272
1.099229,33.652758,4.913293
1.099305,33.652758,4.944003
1.099351,33.652758,4.951392
1.099499,33.652758,4.960224
1.099549,33.652758,4.999712
1.099613,33.652758,5.044109
1.099911,33.652758,5.044128
1.100214,33.652758,5.084736
1.100345,33.652758,5.160205
1.100392,33.652758,5.166243
1.100466,33.652758,5.174912
1.100566,33.652758,5.202189
1.100612,33.652758,5.209549
1.100973,33.652758,5.234144
1.101061,33.652758,5.251363
1.101491,33.652758,5.251533
1.101619,33.652758,5.251552
1.101785,33.652758,5.260064
1.101836,33.652758,5.289699
1.101919,33.652758,5.297120
1.102003,33.652758,5.321792
1.102050,33.652758,5.367629
1.102093,33.652758,5.395872
1.102176,33.652758,5.410944
1.102319,33.652758,5.414528
1.102399,33.652758,5.419162
1.102642,33.652758,5.451533
1.102896,33.652758,5.473603
1.102945,33.652758,5.474883
1.103025,33.652758,5.514656
1.103108,33.652758,5.518189
1.103399,33.652758,5.537859
1.103481,33.652758,5.540122
1.103515,33.652758,5.545280
1.103592,33.652758,5.594902
1.103793,33.652758,5.614646
1.103948,33.652758,5.615894
1.104186,33.652758,5.621952
1.104235,33.652758,5.661389
